Matricula,Nome,Situacao Matricula,Curso,Cpf,Instituicao,ano_ingresso,semestre_ingresso,Cota
2248,xosdfo dsfosd,CONCLUÍDO,EDUCAÇÃO DO CAMPO,98970,31998,2017,2,
2257,dkfmsd lkmsdlk,CONCLUÍDO,EDUCAÇÃO DO CAMPO,570453,31998,2017,2,
2266,sfsf lksmdflk,CONCLUÍDO,EDUCAÇÃO DO CAMPO,73906,31998,2017,2,
2275,lskdmf dfgml ,CANCELADO,EDUCAÇÃO DO CAMPO,37907,31998,2017,2,
2014,qweqwem qdffs,CONCLUÍDO,EDUCAÇÃO DO CAMPO,82996,31998,2017,2,
2010,kjnv kjkj,CONCLUÍDO,EDUCAÇÃO DO CAMPO,60557,31998,2017,2,
2319,okmijn uhb yv,CONCLUÍDO,EDUCAÇÃO DO CAMPO,28948,31998,2017,2,
2328,hdye irut,CONCLUÍDO,EDUCAÇÃO DO CAMPO,670007,31998,2017,2,
2037,kjner on,CONCLUÍDO,EDUCAÇÃO DO CAMPO,061905,31998,2017,2,
2006,pqowier hfhfhsy,CONCLUÍDO,EDUCAÇÃO DO CAMPO,2942,31998,2017,2,
2224,lksr kjn kn,CANCELADO,EDUCAÇÃO DO CAMPO,54390,31998,2017,2,
2733,kjwnrkjn jknklnl,CONCLUÍDO,EDUCAÇÃO DO CAMPO,48246,31998,2017,2,
2256,qwer qwer qwe ,CANCELADO,EDUCAÇÃO DO CAMPO,777987,31998,2017,2,
2071,poi poi njhh,CONCLUÍDO,EDUCAÇÃO DO CAMPO,7725,31998,2017,2,
2417,ijns uhbfr,CONCLUÍDO,EDUCAÇÃO DO CAMPO,47639,31998,2017,2,
2426,pdfovwnwh jskjenf,CANCELADO,EDUCAÇÃO DO CAMPO,26710,31998,2017,2,
2435,kjnse kjnfjn,CANCELADO,EDUCAÇÃO DO CAMPO,46766,31998,2017,2,
6015,kne snkf kj,CONCLUÍDO,EDUCAÇÃO: EDUCAÇÃO E PRÁTICA DE ENSINO,63095,31998,2017,2,
8993,zawsx cefvr,CONCLUÍDO,EDUCAÇÃO: EDUCAÇÃO E PRÁTICA DE ENSINO,790098,31998,2017,2,
1910,crfr byvy,CONCLUÍDO,EDUCAÇÃO: EDUCAÇÃO E PRÁTICA DE ENSINO,8509598,31998,2017,2,
