"Nome Aluno";"Numero Cpf";"Co Ciclo Matricula";"Situação Matricula";"No Curso";"Dt Data Inicio";"Unidade Ensino"
"AAADsE SVbQbI qiyQrz";"047.575.718-43";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aaGTXI aWRyrx SGEJit";"486.889.264-99";2580854;"EM_CURSO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aALmjd OIjCan NlmjFU";"806.110.330-17";2649726;"EM_CURSO";"TÉCNICO EM ELETROTÉCNICA";"02/09/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AAsERj yYXyju ttAJxm";"912.984.167-07";2592436;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aaUJFN WQULVu WZhctg";"448.795.497-54";2592436;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aaZNyf bNOCDF BFnzww";"855.610.296-62";2638172;"EM_CURSO";"RADIOLOGIA";"26/07/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AbENCS DRupfN XATmPY";"971.999.247-07";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aBhsEZ fcsndL JnGwLi";"125.827.205-35";2628113;"EM_CURSO";"GESTÃO PÚBLICA";"06/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"abJUwT tiNMsb CZTgdk";"671.987.079-96";2671138;"EM_CURSO";"TÉCNICO EM EDIFICAÇÕES";"01/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aCJPiy yXbMIv VMrXTR";"085.037.913-53";2593332;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"ACpNNM CGatDL vTtBFj";"081.513.391-10";2608765;"EM_CURSO";"TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO";"01/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AcPyjz iulOxg ufzpan";"107.081.629-64";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"acSVOU MSdDas OKksHi";"150.200.570-13";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AdbuwE AyFvYe tAIZJS";"568.571.551-55";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"ADCcqy GEqHSn FxMMtk";"429.794.467-65";2608757;"EM_CURSO";"TÉCNICO EM QUÍMICA";"01/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aDldWF nzUIJG oQYPbT";"262.247.467-67";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AecfcG hhHRmx rDZPln";"308.851.756-45";2580867;"EM_CURSO";"ANÁLISE E DESENVOLVIMENTO DE SISTEMAS";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aEmGTd qQTYXw QYvyVA";"169.599.257-24";2649729;"EM_CURSO";"TÉCNICO EM ELETROTÉCNICA";"02/09/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"aEygjm QxuvWz BeVUhh";"020.726.760-35";2580840;"EM_CURSO";"TÉCNICO EM ELETRÔNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AEZsnX vbljmt ZJZiuT";"146.932.505-42";2628213;"EM_CURSO";"MATEMÁTICA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AfGfvf hOZfjG niJXMP";"668.138.046-09";2592436;"EM_CURSO";"TÉCNICO EM SEGURANÇA DO TRABALHO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AFKddI TXpzXn CtkYBH";"310.121.538-80";2578410;"EM_CURSO";"TÉCNICO EM SANEAMENTO";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AFQqqz nhDhfZ OEmQXf";"080.317.260-17";2580857;"ABANDONO";"TÉCNICO EM ELETROTÉCNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AfxwFI eKhtrK dTXeYU";"679.722.035-33";2580839;"EM_CURSO";"TÉCNICO EM ELETRÔNICA";"06/02/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"agIcaW SPgvTM JWGfjx";"273.653.708-30";2608765;"EM_CURSO";"TÉCNICO EM REFRIGERAÇÃO E CLIMATIZAÇÃO";"01/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AGlDWg vJhlAF BSiFfU";"962.673.651-21";2641105;"EM_CURSO";"ENSINO DA MATEMÁTICA NO ENSINO MÉDIO";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"agRhUZ WLwBXx WTjWLv";"880.901.379-25";2628203;"EM_CURSO";"GEOGRAFIA";"07/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AgSRIy NvYEEb kxvBUB";"479.498.467-61";2628113;"EM_CURSO";"GESTÃO PÚBLICA";"06/08/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AHBSYo dgenJc XBtVAg";"916.243.036-28";2608770;"EM_CURSO";"ENGENHARIA MECÂNICA";"02/04/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
"AhcMGt SGDPbC corKHf";"812.257.482-18";2649730;"EM_CURSO";"TÉCNICO EM TELECOMUNICAÇÕES";"02/09/2019";"INSTITUTO FEDERAL DE PERNAMBUCO - CAMPUS RECIFE"
