"NO_ALUNO";"NU_CPF";"CO_CICLO_MATRICULA";"NO_STATUS_MATRICULA"
"SNwwKH HnHsHh uePPan";"23692387988";"521784";"DESLIGADO"
"IOFiTj BbofCZ SEoyUv";"58202115489";"521784";"CONCLUÍDA"
"bNDgKH TJdTyh xBVMuf";"31933034606";"521784";"CONCLUÍDA"
"GJTUWW ueFVzz YHYOFV";"12421185216";"521784";"ABANDONO"
"QqEIJP usiCdN UwHoIH";"17218831102";"521784";"ABANDONO"
"UuTSJj rtstnQ jcZppc";"91972706171";"521784";"CONCLUÍDA"
"wCGsnn hgmXxz TiweAD";"19264164887";"521784";"CONCLUÍDA"
"tEqQzf CKPaPB JSjcuA";"37266662020";"521784";"ABANDONO"
"MBhRZD eqmPSc uBqeqD";"54230634234";"521784";"ABANDONO"
"ToQDOh cZyLOB GIYSFG";"77316122280";"521784";"ABANDONO"
"xNTOUS yYyeAu mqyvul";"75015139294";"521784";"CONCLUÍDA"
"zrQAGq kRonrG wPmKop";"13406286437";"521784";"DESLIGADO"
"glocnM svoEEZ EaKVIT";"64849737155";"521784";"CONCLUÍDA"
"KnkRhp xtPTnQ zJsXKK";"23680087583";"521784";"ABANDONO"
"fyHZTX SJxPMU CMVJkC";"41808982948";"521784";"CONCLUÍDA"
"huYccL YsArwk aOsaWv";"24401336447";"521784";"CONCLUÍDA"
"ZxkfMd QAkzSI cZJYti";"83429093968";"521784";"CONCLUÍDA"
"GREAUH WKorWd kdVSxf";"49359983472";"521784";"ABANDONO"
"JDcEng CRLtpo HVTjbo";"11041223952";"521784";"CONCLUÍDA"
"RVPMGB INXkyZ fNiwsO";"37536818444";"521784";"ABANDONO"
"uqWxCe MhUQRL qLERzu";"03754079771";"521784";"ABANDONO"
"WGVAiZ MSFiUr qTpSwM";"99959965788";"521784";"ABANDONO"
"ybuefX CWbYHO htTOgq";"88396795025";"521784";"ABANDONO"
"MtvIyu eMVsyS ScXXMM";"96028722002";"521784";"ABANDONO"
"KAgNDe UdevXZ sSQGKd";"01698588419";"521784";"ABANDONO"
"jQOSPH gSploq pMsHTC";"63797587445";"521784";"ABANDONO"
"mKrHrD NHzNxV ShaXCG";"74608215400";"521784";"ABANDONO"
"sunLqC XIBmME yYXFWY";"67138390085";"521784";"ABANDONO"
"IbeuMS dzUFSl LHeLKz";"87529080872";"521784";"ABANDONO"
"qfVFSn ReBAbb SWUDvV";"54695741291";"521784";"ABANDONO"
"roSoZL jiupNt GMscmw";"07865332825";"521784";"CONCLUÍDA"
"otsbqi szevJO jvifDx";"02566428407";"521784";"DESLIGADO"
"ARRYaU GvTTAK BCHkMV";"88403572780";"521784";"ABANDONO"
"FPDUuz hzKhIG qJnkst";"88959309234";"521784";"ABANDONO"
"oQlkuB RxANpZ aeUXUp";"72506440482";"521784";"ABANDONO"
"uWIRHh lljbQC OPKenc";"11412489970";"521784";"ABANDONO"
"PLrxan rOcAmT aawOqk";"89183776505";"521784";"CONCLUÍDA"
"JOEvIs ZmYsUe tpMoLG";"77876984565";"521784";"ABANDONO"
"PmTLHE sLNVHF gjNIKZ";"41279956976";"521784";"CONCLUÍDA"
"EfSUqz xxdxLR KIKWDw";"01904869280";"521784";"ABANDONO"
"GZJAOR PjaqoW XoujWX";"00078373486";"521784";"ABANDONO"
"dJipIB OLvSOS ksApIK";"30814175613";"521784";"ABANDONO"
"aoJEXV GatiJW rvFxTR";"53916937168";"521784";"ABANDONO"
"rClbpB emapLu lbqXOc";"55738238999";"521784";"ABANDONO"
"fuVnpq igYeRU xAReMt";"25358112880";"521784";"ABANDONO"
"CCkMIF FIWKkK ABLBhk";"38438037229";"521784";"ABANDONO"
"GUIWSV RlAGfy ZZsLlP";"04550088923";"521784";"ABANDONO"
"nSlITm tJcHMI DYSUpN";"61249310605";"521784";"ABANDONO"
"bEtBML KtCdjX WLhSgz";"07027744494";"521784";"ABANDONO"
"jBuhjc AOTnFZ phwxUq";"19334073879";"521784";"ABANDONO"
"SmRYLt nSWAzK rpFJNI";"82546012541";"521784";"ABANDONO"
"yXxMlu IkoRhK yhCDsp";"29237648869";"521784";"ABANDONO"
"DAjCPg eEtzmV CbUURT";"04476695636";"521784";"ABANDONO"
"yyToIa JIAdRk psZhZU";"42288526775";"521784";"CONCLUÍDA"
"cvVFil hxDFGo iocCNu";"47310360967";"521784";"CONCLUÍDA"
"IViEnr QBlsMB yhIEqO";"78900761365";"521784";"CONCLUÍDA"
"fBhDLn FZXCQv WXzIEJ";"24290903187";"521784";"CONCLUÍDA"
"kUoNeo Ydtclm AwsFMW";"47315383669";"521784";"CONCLUÍDA"
