"NO_ALUNO";"NU_CPF";"CO_CICLO_MATRICULA";"NO_STATUS_MATRICULA"
"gNApHU mwBJPO UtVOtO";"26344111420";"823259";"ABANDONO"
"rUMzOm esjfNj lCLSfg";"55133585331";"823259";"ABANDONO"
"KJWPEL JzkkGL DYgLXY";"96734633127";"823259";"ABANDONO"
"HgJlJj CIiIsb FRiKrs";"70523645172";"823259";"ABANDONO"
"AckSEM fiLTxs ynZNOw";"77371150403";"823259";"ABANDONO"
"sEjrFq KZjiQi uInkeb";"04675108525";"823259";"ABANDONO"
"GHKliT aQxCiT TjPCyY";"61463242392";"823259";"CONCLUÍDA"
"OYqimI dXjmQd oKnEJm";"77159124611";"823259";"DESLIGADO"
"EWzlwO SwUJkO iIreMc";"59925946068";"823259";"CONCLUÍDA"
"ZxovfG ZZFiJX AWsjkC";"06664155941";"823259";"CONCLUÍDA"
"lpvuEQ bqheaL WfReuh";"29064101039";"823259";"CONCLUÍDA"
"vWhZKt FjAZwM VNsIPI";"05469878228";"823259";"CONCLUÍDA"
"hKHagZ UzHrGv ojWGWq";"16227475803";"823259";"DESLIGADO"
"amOeRJ aADAjM aVnsSb";"29368389161";"823259";"ABANDONO"
"kbMlAD XSpeQl tbRuCw";"12364786122";"823259";"ABANDONO"
"yNwxqI HnszUt LPvKpG";"21184045082";"823259";"ABANDONO"
"mhoWVV oZThWs XLDiwA";"55022173830";"823259";"ABANDONO"
"jTrlyJ PdKtUp crjTrs";"04649844559";"823259";"ABANDONO"
"SbaAUp xXEfnd OBqaGt";"14256222447";"823259";"ABANDONO"
"LfBbFq aTxDrc VfbHQp";"02896969947";"823259";"ABANDONO"
"uOpgti SbyeBD TeeqwT";"38475433607";"823259";"ABANDONO"
"DpWSsn USBTPs MAAhpE";"38702877020";"823259";"ABANDONO"
"gPLvuC UtcaPg OaeFlZ";"39226933829";"823259";"ABANDONO"
"rPKBqC ZHBVXf zijpWb";"97598884081";"823259";"ABANDONO"
"kcBNQE gTJPxL TtkLMy";"04066843195";"823259";"ABANDONO"
"BzLaMr YnOPon yYhTAI";"26461038942";"823259";"ABANDONO"
"IAfFZQ RrfODv tgnrPE";"39309890826";"1252033";"CONCLUÍDA"
"BNkoSG Kxdnhj cVzeWN";"01987378154";"1252033";"CONCLUÍDA"
"TrKSAD qJRVNb pukTct";"96694254614";"1252033";"CONCLUÍDA"
"ZOauGy THybBt FwdDvs";"78031400256";"1252033";"CONCLUÍDA"
"LzTobn YuYXNJ DhiVxo";"92834813590";"1252033";"CONCLUÍDA"
"JTVznw TpupnW ievIWK";"17593033214";"1252033";"ABANDONO"
"KCvYFH AEUAbP YNubwO";"81460227767";"1252033";"CONCLUÍDA"
"ALZpeb hfmIBu YhcEBR";"19129253337";"1252033";"CONCLUÍDA"
"WlgdOI tahdzz XcyIHN";"27541949298";"1252033";"DESLIGADO"
"SDtZRd TVXTWY JHDmEu";"87279932713";"1252033";"DESLIGADO"
"SKnfmS XxHdqp NgjWdA";"33462726402";"1252033";"DESLIGADO"
"kPGiOM SORUfH dABOxm";"50907738188";"1252033";"CONCLUÍDA"
"WTqXsG lUBQuL nTIgcc";"67885379666";"1252033";"DESLIGADO"
"oLPHHy BLrgSi drujbH";"01690130051";"1252033";"CONCLUÍDA"
"XFCVPv KcfimH uJsPTC";"16030400819";"1252033";"CONCLUÍDA"
"GKIMLU qazoiu LDjnDq";"00162696334";"1252033";"CONCLUÍDA"
"AydRzS WJLwHf HmQYEq";"42834785547";"1252033";"CONCLUÍDA"
"FOfvIN mWfKna wdbbIS";"14053663355";"1252033";"CONCLUÍDA"
"ELnNVI JdfQYZ pUZCcp";"63070322607";"1252033";"CONCLUÍDA"
"aGkVWR eiFCUi qyNnLe";"76164298567";"1252033";"CONCLUÍDA"
"chFBpw KQSwOE bcjjlh";"55805012130";"1252033";"CONCLUÍDA"
"yDJfeW lUZHWe UmHktz";"32967744958";"1252033";"CONCLUÍDA"
"otVFjV YZeWeX wEoBbT";"89602092375";"1252033";"CONCLUÍDA"
"hRWjsR KSGRlH rHlGis";"52336335980";"1252033";"CONCLUÍDA"
"CYNNuD GKDPnz UPqBds";"95930079406";"1252033";"ABANDONO"
"MqidKZ nvzKuT NLKVew";"31857321567";"1252033";"ABANDONO"
"IOhqJh eIRtWQ rkuSEJ";"12234680106";"1252033";"ABANDONO"
"GZMWob kvnTDB cNxezf";"42813043887";"1252033";"ABANDONO"
"BznoDf aeixfb vyIEps";"60128105667";"1252033";"ABANDONO"
"RexRTV umDTfF cMcuOd";"85751446759";"1252033";"ABANDONO"
"RPeFcm kgMEOT BDPRbA";"33259465312";"1252033";"ABANDONO"
"WMxhyX swDcId ZNoKCB";"83925741265";"1252033";"ABANDONO"
"ShcNWu MDvmcS nBRLkG";"23189176136";"1252033";"ABANDONO"
"BHaume eGKDrq gOLSTT";"16992247676";"1252033";"ABANDONO"
"jfkCjZ oPlZgt iSxksz";"87007580877";"1252033";"ABANDONO"
"cxeOaL hhsjLn UQEpAo";"61177906695";"1252033";"ABANDONO"
"uVJBTW Ixfccp DRNSWo";"18056143302";"1252033";"ABANDONO"
"KTQTUP STrUkE vJAwkF";"68742015952";"1252033";"ABANDONO"
"nSmygm vvtVpV mRCZhs";"77937601133";"1252033";"ABANDONO"
"GxVChn rQKPsu gHXOdF";"44006073506";"1252033";"ABANDONO"
"BYPrlV NWvhrr FgVNXn";"60610916770";"1252033";"ABANDONO"
"yAnXZh CEtssm CkCaGr";"48303443320";"1252033";"ABANDONO"
"VKvfqd Hemntx uMGXBL";"10709695107";"1252033";"ABANDONO"
"hFYvHT PjghZY tDehkQ";"54724057232";"1252033";"ABANDONO"
"fyykyK kIrzvA XyxqBm";"41799186302";"1252033";"ABANDONO"
"cFBBfG nfAIuw MVXfNX";"06165981535";"1252033";"ABANDONO"
"EDinju eVLQrc DbqcDW";"50422574356";"1252033";"ABANDONO"
"nhCENl VeVEld GpIMWK";"20777882051";"1252033";"ABANDONO"
"GtVeGo kWRcvT casfmX";"83521697846";"1252033";"CONCLUÍDA"
"GWjJzW KqJFQY MQhTJW";"37965952600";"1252033";"CONCLUÍDA"
"TIptEW ZPNQxF noUxvy";"70754177940";"1252033";"CONCLUÍDA"
"pxKvFf veNeGh JYuzcu";"80606551041";"1252033";"ABANDONO"
"XaBLjd sjMBNh UxetOP";"19637111920";"1252033";"ABANDONO"
"gcINxD pBwnbt mRNpyt";"53017891759";"1252033";"CONCLUÍDA"
"EDJBWu tSFYYv zqiCRu";"82753017199";"1252033";"CONCLUÍDA"
"eJATUZ YfcFhU YyZGmY";"86619890747";"1252033";"CONCLUÍDA"
"QnqjIN IAybwo luvmiT";"20274372251";"1252033";"CONCLUÍDA"
"NmBseV lfqbPK jYvwTS";"19702193889";"1252033";"CONCLUÍDA"
"alaQPh yNYutL EXosDN";"17287621426";"1252033";"CONCLUÍDA"
"tVEIMF pTCpqr kkjRxm";"88389061747";"1252033";"CONCLUÍDA"
"aRTGAZ AOGHDu IWnKEl";"83262420102";"1252033";"ABANDONO"
"ZCFrET RVtVGW aeJkbY";"77176724689";"1252033";"ABANDONO"
"WxvhFP kOeLJT gSyRmd";"31853850152";"1252033";"ABANDONO"
"LcVWBO vonqWC OTMYGf";"71894977336";"1252033";"ABANDONO"
"cDXUbq gAedeL RBZysD";"73418237129";"1252033";"ABANDONO"
"XTFvST HxufaL QwvSNN";"31444103457";"1252033";"ABANDONO"
"BllQwW XjrqdM JknUEy";"47755645873";"1252033";"ABANDONO"
"towSXW hRLLPQ vNPgXx";"02103467747";"1252033";"ABANDONO"
"EARqLk lGRflt CzMObM";"02367598274";"1252033";"ABANDONO"
"rIzxku ZHuUps dCEpnO";"42143486944";"1252033";"ABANDONO"
"PegscA EfoRds omXacy";"64498579081";"1252033";"ABANDONO"
"SSbuLn fWgHpd kvxnYa";"06897717594";"1252033";"ABANDONO"
"qBXIfa BJnYlG ZzmWsX";"82759262931";"1252033";"ABANDONO"
"MvdsWg MXopjZ gwCzXI";"41169987021";"1252033";"ABANDONO"
"dDaFUq MBtXiv YcQBkp";"30177536587";"1252033";"ABANDONO"
"EFMZtA UDEwJg nqRZyN";"95528440509";"1252033";"ABANDONO"
"LmRnsu BwYcMS xRmdnU";"22418404289";"1252033";"ABANDONO"
"NHoJrL laDyEF SbcskP";"88580786155";"1252033";"ABANDONO"
"IODeug mgqmJn bJAWSD";"36127159679";"1252033";"ABANDONO"
"XjgnGO RtHiuh zeYyJA";"31076894270";"1252033";"ABANDONO"
"luQXbl VGfzMc eLHbBi";"73451261529";"1252033";"DESLIGADO"
"junrlv JxvErA NPWKOU";"64523722963";"1842217";"ABANDONO"
"eFZLBx WvdCLv cUJPpx";"51709209225";"1842217";"ABANDONO"
"mgZKCg fQAiQo lFuMRk";"16750466727";"1842217";"ABANDONO"
"UzoEdQ PpxEzp NZnyvj";"84636422958";"1842217";"ABANDONO"
"hYnnoa gaGvzV aepgHx";"49837630473";"1842217";"ABANDONO"
"KKRQyS XGZYps BrHoOu";"01067276187";"1842217";"ABANDONO"
"hkoPFX MqvWjs pkpvbu";"16598745465";"1842217";"ABANDONO"
"KhzFNP DDZhyE ZCRTtn";"82651160872";"1842217";"ABANDONO"
"QQvNtC vFMOky CwmCiN";"29332627678";"1842217";"ABANDONO"
"zLnbsh sIfCjF FpNiDQ";"65601236621";"1842217";"ABANDONO"
"vKNWxr PoOWLp ZViImq";"00963225671";"1842217";"ABANDONO"
"iHccOT ltgbLI InrTsa";"73564660368";"1842217";"ABANDONO"
"EtfHrF RwaPgH APbVZq";"77808649482";"1842217";"ABANDONO"
"dfATsF qNuega zDMeYC";"24345608304";"1842217";"ABANDONO"
"RkfSsj ZBgrxJ dVottk";"18298738793";"1842217";"ABANDONO"
"bdoEWG ZJHWoz uDGAmb";"61575618420";"1842217";"ABANDONO"
"kbYApE NilAIG CjDWUQ";"46646149683";"1842217";"ABANDONO"
"JKdivZ kIljDB NMQORg";"24365641382";"1842217";"ABANDONO"
"NZOHcj Gtoyhx hnfGNt";"42142435518";"1842217";"ABANDONO"
"aRxYaU xYRphr COSusf";"02111350848";"1842217";"ABANDONO"
"APPvQv vNAVUC tpYtmX";"75162768512";"1842217";"ABANDONO"
"chQOEz RsgCqB CBdedO";"46559396319";"1842217";"CONCLUÍDA"
"Bcumqk aNOVZM NmzEwS";"54381125483";"1842217";"CONCLUÍDA"
"dqwyaU DgiEWs YVVvBk";"71885321427";"1842217";"DESLIGADO"
"cgJdNK SkSHxQ uYGqFy";"60903426643";"1842217";"INTEGRALIZADA"
"QgYrDD GTkXsx cFmrsQ";"26509728928";"1842217";"INTEGRALIZADA"
"hslfnO JMkkvj oiTUkn";"18274459524";"1842217";"INTEGRALIZADA"
"DzFszL GEmFZZ dLMnmG";"51896372422";"1842217";"INTEGRALIZADA"
"NfxMXL FvzGia NCdkTB";"54197945109";"1842217";"CONCLUÍDA"
"rlUBOd POeLrc IrrIEZ";"74303502654";"1842217";"CONCLUÍDA"
"cqIZET mRgHCj DXAUed";"17955754079";"1842217";"ABANDONO"
"tKmtfp JFpgps ESHXuy";"80169988748";"1842217";"ABANDONO"
"wVTDUU tBUtCZ byRAzf";"88064455492";"1842217";"ABANDONO"
"shvQrd sqjBOF qkTmFJ";"71975878712";"1842217";"ABANDONO"
"ZwktHY woogNI wjJyRm";"55363508453";"1842217";"ABANDONO"
"IcPcfG EfBKOD oiGrKx";"01347035230";"1842217";"ABANDONO"
"daXFOv dWEFXP AqiPmP";"73660547586";"1842217";"ABANDONO"
"rbYeVA vvSDmF qCNxYZ";"30539793873";"1842217";"ABANDONO"
"Fyxmkq TIsPbP kthNYm";"86900753174";"1842217";"ABANDONO"
"kkAwBO gElAHk lGnxlS";"24411275647";"1842217";"ABANDONO"
"KHwwpp spYsrK fRRxmV";"77483635502";"1842217";"ABANDONO"
"skowkR MKHJxc ecGoRd";"90675828230";"1842217";"ABANDONO"
"iYeAwf gGbqDU wvUpSB";"77606120218";"1842217";"ABANDONO"
"VQUnDE deCwzl MPCOFK";"18501006779";"1842217";"ABANDONO"
"JtTsDJ EhdUUX kxkwOg";"65763707873";"1842217";"ABANDONO"
"fmFJHL ddHDsC AzIZva";"64805181773";"1842217";"DESLIGADO"
"QvfNxq RcdXrs UouNLv";"69837176654";"1842217";"DESLIGADO"
"FxWiov cGoUfr DVSbei";"39957075840";"1842217";"CONCLUÍDA"
"CPrJuu EaWlSx SsYXOb";"53341401838";"1842217";"CONCLUÍDA"
"JgVvZG aQXJss kdIIWs";"61176216947";"1842217";"CONCLUÍDA"
"LwBBLL XeHqME MrQzcQ";"42083974830";"1842217";"CONCLUÍDA"
"JjuXMH JrrYRa cYsPop";"93856250040";"1842217";"CONCLUÍDA"
"liLsmu TPonMx CGTAFy";"02621997579";"1842217";"CONCLUÍDA"
"sRXMRH xdfsdm cgPNoc";"11747232361";"1842217";"CONCLUÍDA"
"IRHHKd Wllmhs nXIeyd";"40000629363";"1842217";"ABANDONO"
"lLQHcR qNehUc mQtIOi";"14256088726";"1842217";"ABANDONO"
"dDPUYL oFiLpi lYlEne";"30349646888";"1842217";"ABANDONO"
"IRuoJx zqDMdC vtPdVY";"58360967514";"1842217";"CONCLUÍDA"
"JyLfBH loasXY hbluXz";"69527394353";"1842217";"CONCLUÍDA"
"AhcXas abFcDj CmKUGb";"99436725957";"1842217";"CONCLUÍDA"
"fFNErp DWiyeg HpeexC";"54528385096";"1842217";"CONCLUÍDA"
"ZiwcTl naaBHC feJAtk";"40462410134";"1842217";"CONCLUÍDA"
"oYPltt IGLCmO HYgyZb";"45907732166";"1842217";"ABANDONO"
"nfKfBP QUEtob tXUkqP";"12181674308";"1842217";"ABANDONO"
"BaHQlo KzvkqF RPzjpz";"52119949135";"1842217";"ABANDONO"
"ivsaDx ZNdaRK LFhaKl";"83131599255";"1842217";"ABANDONO"
"DPykug IsrTwX MvcXqn";"50725497744";"1842217";"ABANDONO"
"FPdopQ sfGiDF OJfwfy";"75686200153";"1842217";"ABANDONO"
"IGfZLn HpjdtS dtHxuD";"22362364417";"1842217";"ABANDONO"
"WWVAWa IjjmNz KWUvSx";"27970261455";"1842217";"ABANDONO"
"TtTBXu zuyTWx DgeIgY";"52557530955";"1842217";"ABANDONO"
"VjtHyy ZOuwwu orjrKV";"53200805509";"1842217";"ABANDONO"
"ljUQBI fuOUwr UghjNP";"85673410619";"1842217";"ABANDONO"
"wOegjh wByNCN OvpDXl";"16140954059";"1842217";"INTEGRALIZADA"
"njLGvF asIPbt AxvgKX";"56909988586";"1842217";"CONCLUÍDA"
"fsWWNJ TdyUdU jzBuFl";"86009360349";"1849131";"EM_CURSO"
"AbuMRI UloRPq XnfffH";"94415910704";"1849131";"DESLIGADO"
"tafPep wsDqOv YebrbW";"17090921199";"1849131";"CONCLUÍDA"
"dtaNAw VHcLdD dnczRn";"05209684693";"1849131";"CONCLUÍDA"
"YDDIOB ksFcvr ZNRiIB";"07902054098";"1849131";"CONCLUÍDA"
"AIJpXF KbRADs Tchawc";"10973761052";"1849131";"CONCLUÍDA"
"ADZaUP zIlHFh qXjYYm";"17538293658";"1849131";"CONCLUÍDA"
"rByvQI OMnYGN tmzfpA";"32232214011";"1849131";"CONCLUÍDA"
"QohDpk tYYhnk bJhCpj";"84157040578";"1849131";"CONCLUÍDA"
"YFjpfC SKpvuL QzgFNI";"11539448236";"1849131";"CONCLUÍDA"
"YhYsmm aktiUW kBIKid";"96292653999";"1849131";"EM_CURSO"
"yIKDUJ lOrVqA JGSvcI";"36008429412";"1849131";"ABANDONO"
"GeHsIw CmJzFG XfxhWO";"53166085816";"1849131";"ABANDONO"
"dZQash yyCDDq zhSVBm";"75237837693";"1849131";"ABANDONO"
"dvWNfP NBCBiH Zwkcoc";"72999820317";"1849131";"ABANDONO"
"BPCaPO XOSZxI dGMcSV";"76451469041";"1849131";"CONCLUÍDA"
"OlUEwD ZDmdJP tSnQVZ";"51847143427";"1849131";"CONCLUÍDA"
"pBqAyo EuIqZC gLwGFn";"17464785517";"1849131";"CONCLUÍDA"
"cqNAKF NgcsEt NonGUy";"22099986657";"1849131";"CONCLUÍDA"
"qEjZZC hkknOc cSTlDY";"40326834396";"1849131";"CONCLUÍDA"
"xFHzma KHKGWP BSWhDB";"26208221138";"1849131";"CONCLUÍDA"
"sjIuAo lEpkpI EwxXNg";"63634538114";"1849131";"CONCLUÍDA"
"xKoFDk ORsRUY FSiYkJ";"26219569278";"1849131";"ABANDONO"
"tDEaAa izLyiy DfxESK";"93353712333";"1849131";"ABANDONO"
"yzYQju cASYam ToPQWw";"79064197586";"1849131";"ABANDONO"
"mQqcfo eaZkCh plHVms";"67679595021";"1849131";"ABANDONO"
"jdjGTW eMBFgr QqBMHm";"67490451683";"1849131";"ABANDONO"
"TMwPIT KvLAGx uHQSWR";"40109256900";"1849131";"ABANDONO"
"KnMkfU lOTKJe uVSfAm";"72408774058";"1849131";"ABANDONO"
"cvwbVI Vlqrbl BFdudC";"87930659112";"1849131";"ABANDONO"
"qKridQ Yjhlwd NDsjUK";"19268992886";"1849131";"ABANDONO"
"MHpDOz vHLqHQ irHupj";"54103675797";"1849131";"ABANDONO"
"pecnpB cglgQy DGJbyi";"73856696562";"1849131";"ABANDONO"
"WJabrP mcRpIm ekkxrM";"26832002377";"1849131";"ABANDONO"
"pYsVdZ DEUHQp hDtxiQ";"26002469863";"1849131";"ABANDONO"
"yIdJQE ZHhmVR DYkzDl";"79624935344";"1849131";"ABANDONO"
"PfUwTa PZEKdo DRfygV";"77203892537";"1849131";"ABANDONO"
"WKJzNt sySAtt AWaOAr";"04164309921";"1849131";"ABANDONO"
"wgmNLZ cXGISb ZqiPLW";"53000586401";"1849131";"ABANDONO"
"llzVlY drEiIh UavMlO";"51034709274";"1849131";"ABANDONO"
"kVBYRf fJMeVd KEOKBP";"27845126904";"1849131";"ABANDONO"
"QOjwqD tNbkHJ Oeuaai";"57758986681";"1849131";"CONCLUÍDA"
"pslRZu wgxzBO hLvusW";"53337121566";"1849131";"ABANDONO"
"tgVPHE NuiibF dAbDsu";"57016214925";"1849131";"ABANDONO"
"UTfKTW jJtNkK RVYjSb";"24078436113";"1849131";"ABANDONO"
"HFakIP JbVZvo bWJhED";"38727869686";"1849131";"ABANDONO"
"aUGlee GEcuhM LPbTXh";"01284398788";"1849131";"ABANDONO"
"SDmFsg uCyMWe lsJGJH";"44365619550";"1849131";"ABANDONO"
"HxfTjp TmXsRQ VzzamV";"15829128452";"1849131";"ABANDONO"
"baBvpR AXwVxk kzMfKP";"49691725774";"1849131";"CONCLUÍDA"
"iApyUs SWSyQG fJMSkQ";"73368980843";"1849131";"CONCLUÍDA"
"WpXsOp ECknOZ TrnYWC";"89877229530";"1849131";"ABANDONO"
"YSihWR rKiJOv LvCTqQ";"36264418265";"1849131";"ABANDONO"
"RmoAyo RNUrvF Shnzip";"02177693488";"1849131";"ABANDONO"
"FHRhUE aZafYk UAafQy";"91854880133";"1849131";"ABANDONO"
"eocfqY AKKbGM qiXNoZ";"30883509951";"1849131";"ABANDONO"
"kGydcx MagrmS PQduRF";"42839127432";"1849131";"ABANDONO"
"eetagN coKbLs ilFNzJ";"09462871484";"1849131";"ABANDONO"
"MkyflI Qosrxx VWYOBU";"21133289441";"1849131";"ABANDONO"
"AvFNlw rVgYtd itfzYu";"32009640178";"1849131";"ABANDONO"
"scXjfD BhZxSY eJgrRA";"16201822362";"1849131";"ABANDONO"
"XCJHAy ZBWyPL FlYTGZ";"47685990980";"1849131";"ABANDONO"
"dUJegQ kRDbOS YBtHtx";"13206778317";"1849131";"ABANDONO"
"eZejgB lHODXs oFHVMV";"06226785787";"1849131";"ABANDONO"
"jfLLzt AZlpwt ELgjcA";"30993531763";"1849131";"ABANDONO"
"nftZcT MLRTEe TaOleS";"13446930148";"1849131";"ABANDONO"
"iuUVxF Dlymfn lcQqeW";"90777731853";"1849131";"ABANDONO"
"eCMotW qKDLrO uSgKAX";"28011185939";"1849131";"ABANDONO"
"WPeymM PmjCgS BRrsmz";"03977117662";"1849131";"ABANDONO"
"OXFJsv AxyfOf tDwDrY";"81360912755";"1849131";"ABANDONO"
"JeWfei ewGCLj askjaB";"31468745944";"1849131";"ABANDONO"
"fjgftM sKktWD DZECGz";"76828637988";"1849131";"ABANDONO"
"IONlnQ xqaeNi gWImgh";"47137139768";"1849131";"ABANDONO"
"TPolfA hBtVQr ComyJl";"85057907244";"1849131";"ABANDONO"
"uZZwuy yfTCuT ymGKYD";"86916424772";"1849131";"ABANDONO"
"mouQRu GkemQT MoACQK";"91814407060";"1849131";"ABANDONO"
"hyCpEZ FzwkLB cZRvzO";"89657318083";"1849131";"ABANDONO"
"xmWlhz OliAfq ZCXzLL";"25501427230";"1849131";"ABANDONO"
"oQuuDD PDnLxD nJFexn";"07784174832";"1849131";"ABANDONO"
"AJqFXQ lmGtwD xJnKol";"76839653946";"1849131";"ABANDONO"
"tJtLRG zUEiKh TYKOOn";"05401330930";"1849131";"ABANDONO"
"ylndea YhUaze VhNAze";"97189384802";"1938722";"CONCLUÍDA"
"SorliS vXgmGK uIptFc";"17722548065";"1938722";"CONCLUÍDA"
"wHHlTj jboBgX jImfQu";"23350055119";"1938722";"ABANDONO"
"NOLsQN eSmEvl ynfCyH";"82635579798";"1938722";"ABANDONO"
